28291.058 3533.6758  5  5 -0.01395  0.001743 0.05320
28291.058 3533.6758  5  4  0.00487 -0.000608 0.11607
28291.058 3533.6758  4  5 -0.03795  0.004740 0.00670
28291.058 3533.6758  4  4 -0.01913  0.002390 0.06027
28291.058 3533.6758  4  3 -0.00408  0.000509 0.07366
28291.058 3533.6758  3  4 -0.03833  0.004788 0.01116
28291.058 3533.6758  3  3 -0.02328  0.002907 0.05729
28291.058 3533.6758  3  2 -0.01199  0.001497 0.04092
28291.058 3533.6758  2  3 -0.03768  0.004706 0.01488
28291.058 3533.6758  2  2 -0.02639  0.003296 0.04650
28291.058 3533.6758  2  1 -0.01886  0.002356 0.01674
28291.058 3533.6758  1  2 -0.03599  0.004495 0.01674
28291.058 3533.6758  1  1 -0.02846  0.003555 0.03013
28291.058 3533.6758  0  1 -0.03326  0.004154 0.01563
28290.430 3533.7542  5  4  0.05792 -0.007235 0.34375
28290.430 3533.7542  4  4  0.02242 -0.002801 0.16406
28290.430 3533.7542  4  3 -0.02477  0.003095 0.11719
28290.430 3533.7542  3  4 -0.00598  0.000747 0.05469
28290.430 3533.7542  3  3 -0.05317  0.006642 0.16406
28290.430 3533.7542  2  3 -0.07447  0.009303 0.15625
27106.750 3688.0682  7  7  0.02994 -0.004074 0.20833
27106.750 3688.0682  7  6  0.11925 -0.016226 0.02604
27106.750 3688.0682  6  7 -0.07646  0.010403 0.02604
27106.750 3688.0682  6  6  0.01285 -0.001749 0.13542
27106.750 3688.0682  6  5  0.08939 -0.012162 0.04167
27106.750 3688.0682  5  6 -0.07835  0.010660 0.04167
27106.750 3688.0682  5  5 -0.00181  0.000247 0.08185
27106.750 3688.0682  5  4  0.06195 -0.008429 0.04836
27106.750 3688.0682  4  5 -0.07781  0.010587 0.04836
27106.750 3688.0682  4  4 -0.01405  0.001911 0.04464
27106.750 3688.0682  4  3  0.03695 -0.005028 0.04762
27106.750 3688.0682  3  4 -0.07485  0.010184 0.04762
27106.750 3688.0682  3  3 -0.02385  0.003245 0.02083
27106.750 3688.0682  3  2  0.01440 -0.001959 0.04092
27106.750 3688.0682  2  3 -0.06945  0.009449 0.04092
27106.750 3688.0682  2  2 -0.03120  0.004245 0.00744
27106.750 3688.0682  2  1 -0.00571  0.000776 0.02976
27106.750 3688.0682  1  2 -0.06160  0.008381 0.02976
27106.750 3688.0682  1  1 -0.03611  0.004913 0.00149
27106.750 3688.0682  1  0 -0.02336  0.003178 0.01563
27106.750 3688.0682  0  1 -0.05131  0.006981 0.01563
27090.508 3690.2794  5  4  0.05063 -0.006897 0.34375
27090.508 3690.2794  4  4 -0.03937  0.005363 0.16406
