wavelength,intensity
254.90929,8.566456e+11
254.96095,1.1313058e+12
255.01262,1.3904417e+12
255.06427,1.3437031e+12
255.11594,1.01387003e+12
255.16757,6.645114e+11
255.21922,3.6123768e+11
255.27086,1.015819e+11
255.3225,1.1790034e+10
255.37413,-8.532056e+09
255.42575,-2.7049066e+10
255.47737,-2.151312e+10
255.52898,-5.1040195e+09
255.58058,1.2807433e+10
255.63219,2.4152891e+10
255.68379,2.4172888e+10
255.73538,1.509953e+10
255.78697,5.574682e+09
255.83856,5.501642e+09
255.89014,2.2367994e+10
255.94171,5.71774e+10
255.99329,1.2257966e+11
256.04483,2.0565633e+11
256.0964,3.113718e+11
256.14795,4.1412998e+11
256.1995,5.581608e+11
256.25104,9.69278e+11
256.30258,1.4825372e+12
256.35413,1.9850195e+12
256.40564,1.8588108e+12
256.45718,1.3251792e+12
256.5087,7.852093e+11
256.5602,4.1119344e+11
256.61172,3.8818988e+11
256.6632,4.8835232e+11
256.71472,5.2069682e+11
256.7662,5.42225e+11
256.81772,5.223956e+11
256.8692,3.6647177e+11
256.92065,2.61641e+11
256.97214,1.9006123e+11
257.02362,1.5764144e+11
257.07507,1.5952318e+11
257.12653,1.7598754e+11
257.17798,1.9134616e+11
257.22943,1.624185e+11
257.28088,9.285883e+10
257.33234,7.533995e+10
257.38376,1.6329253e+11
257.43518,2.6398276e+11
257.4866,3.765698e+11
257.53802,5.0889982e+11
257.58945,5.4687292e+11
257.64087,5.736469e+11
257.69226,5.7508456e+11
257.74365,5.4409832e+11
257.79504,4.865675e+11
257.84644,3.8157727e+11
257.89783,3.0122797e+11
257.94922,2.015948e+11
258.00058,9.222209e+10
258.05197,5.5833694e+10
258.10333,5.899716e+10
258.1547,8.0541245e+10
258.20602,1.5184326e+11
258.2574,2.4489193e+11
258.30875,3.398519e+11
258.36008,4.5644785e+11
258.4114,3.7601798e+11
258.46274,2.5333142e+11
258.51407,3.6010102e+11
258.56537,7.651481e+11
258.6167,1.1485446e+12
258.668,1.5257949e+12
258.71933,1.4276674e+12
258.77063,6.700223e+11
258.8219,2.3785274e+11
258.8732,2.5934117e+11
258.9245,1.8995644e+11
258.97577,1.36381874e+11
259.02704,7.346567e+10
259.0783,1.2866706e+11
259.12958,2.3389826e+11
259.18085,3.9552893e+11
259.2321,5.564801e+11
259.28336,7.6439074e+11
259.3346,7.417135e+11
259.38583,7.733405e+11
259.43707,6.833122e+11
259.4883,4.9249708e+11
259.53952,3.0712326e+11
259.59076,1.5358493e+11
259.64197,1.6556935e+11
259.69318,2.3636633e+11
259.7444,4.2949244e+11
259.7956,8.51166e+11
259.84677,1.6327234e+12
259.89798,2.6693e+12
259.94916,3.7311503e+12
260.00034,3.9716869e+12
260.0515,3.5181075e+12
260.1027,2.145953e+12
260.15387,6.9311424e+11
260.20502,2.2361748e+11
260.25616,1.1782583e+11
260.30734,1.26377e+11
260.3585,1.09471515e+11
260.4096,1.3286222e+11
260.46075,1.8250206e+11
260.5119,2.7039436e+11
260.56302,4.7844554e+11
260.61414,7.6621716e+11
260.66525,1.0725579e+12
260.71637,1.3627399e+12
260.7675,1.7007444e+12
260.81857,1.8186844e+12
260.8697,1.1838764e+12
260.92078,4.2512935e+11
260.97186,2.4354125e+11
261.02295,2.9136903e+11
261.074,4.0092923e+11
261.1251,6.449211e+11
261.17615,1.1251239e+12
261.22723,1.705935e+12
261.2783,2.1753844e+12
261.32935,1.9719658e+12
261.38037,1.2291515e+12
261.43143,1.06942995e+12
261.48245,1.2276314e+12
261.5335,9.038908e+11
261.58453,3.09077e+11
261.63556,1.1674349e+11
261.68655,1.7229406e+11
261.73758,3.5725283e+11
261.78857,5.697738e+11
261.8396,8.678253e+11
261.8906,9.010224e+11
261.9416,5.2465785e+11
261.99258,2.355254e+11
262.04355,2.4227958e+11
262.09454,2.7275854e+11
262.1455,3.3107208e+11
262.19647,3.86442e+11
262.24744,4.0429575e+11
262.2984,3.8535083e+11
262.34937,2.7091411e+11
262.4003,1.9616545e+11
