28176.69 3548.020 3.0 2.0  0.05948 -0.007490 0.03527
28176.69 3548.020 2.0 3.0 -0.04911  0.006184 0.03527
28176.69 3548.020 2.0 2.0  0.00668 -0.000841 0.04657
28176.69 3548.020 2.0 1.0  0.04411 -0.005554 0.02232
28176.69 3548.020 1.0 2.0 -0.02852  0.003592 0.02232
28176.69 3548.020 1.0 1.0  0.00891 -0.001122 0.04018
28175.39 3548.183 5.0 6.0 -0.00804  0.001012 0.27083
28175.39 3548.183 5.0 5.0  0.09959 -0.012542 0.03274
28175.39 3548.183 5.0 4.0  0.19062 -0.024006 0.00198
28175.39 3548.183 4.0 5.0 -0.02091  0.002633 0.19643
28175.39 3548.183 4.0 4.0  0.07012 -0.008831 0.04911
28175.39 3548.183 4.0 3.0  0.14382 -0.018112 0.00446
28175.39 3548.183 3.0 4.0 -0.02628  0.003309 0.13641
28175.39 3548.183 3.0 3.0  0.04742 -0.005972 0.05208
28175.39 3548.183 3.0 2.0  0.10320 -0.012997 0.00595
28175.39 3548.183 2.0 3.0 -0.02488  0.003133 0.08929
28175.39 3548.183 2.0 2.0  0.03090 -0.003892 0.04464
28175.39 3548.183 2.0 1.0  0.06833 -0.008606 0.00496
28175.39 3548.183 1.0 2.0 -0.01730  0.002178 0.05357
28175.39 3548.183 1.0 1.0  0.02013 -0.002536 0.02976
28175.39 3548.183 0.0 1.0 -0.00397  0.000499 0.02778
28007.21 3569.490 8.0 7.0  0.02775 -0.003537 0.23611
28007.21 3569.490 7.0 7.0 -0.08825  0.011248 0.01353
28007.21 3569.490 7.0 6.0  0.01904 -0.002426 0.19481
28007.21 3569.490 6.0 7.0 -0.18975  0.024184 0.00036
28007.21 3569.490 6.0 6.0 -0.08246  0.010510 0.02110
28007.21 3569.490 6.0 5.0  0.00898 -0.001144 0.15909
28007.21 3569.490 5.0 6.0 -0.16946  0.021599 0.00076
28007.21 3569.490 5.0 5.0 -0.07802  0.009944 0.02333
28007.21 3569.490 5.0 4.0 -0.00219  0.000279 0.12869
28007.21 3569.490 4.0 5.0 -0.15052  0.019185 0.00091
28007.21 3569.490 4.0 4.0 -0.07469  0.009519 0.02068
28007.21 3569.490 4.0 3.0 -0.01426  0.001818 0.10341
28007.21 3569.490 3.0 4.0 -0.13269  0.016912 0.00063
28007.21 3569.490 3.0 3.0 -0.07226  0.009210 0.01326
28007.21 3569.490 3.0 2.0 -0.02708  0.003452 0.08333
28004.78 3569.800 7.0 7.0  0.00500 -0.000637 0.23377
28004.78 3569.800 7.0 6.0  0.11229 -0.014314 0.01623
28004.78 3569.800 6.0 7.0 -0.10490  0.013372 0.01623
